path,component,version,license,confidence,evidence,spdx,source
fc-test-support/performance-testing/user-files/lib/bcpkix-jdk15on-1.70.jar,Bouncy Castle PKIX,1.70,Bouncy Castle License (MIT-style),confirmed,"manifest confirms vendor/version; SHA-256 of vendored jar matches Maven Central org.bouncycastle:bcpkix-jdk15on:1.70 byte-for-byte; POM <licenses> names ""Bouncy Castle Licence"", whose text at bouncycastle.org/licence.html is the MIT license verbatim",MIT,Maven Central: org.bouncycastle:bcpkix-jdk15on:1.70
fc-test-support/performance-testing/user-files/lib/bcprov-jdk18on-1.71.jar,Bouncy Castle Provider,1.71,Bouncy Castle License (MIT-style),confirmed,"manifest confirms vendor/version; SHA-256 of vendored jar matches Maven Central org.bouncycastle:bcprov-jdk18on:1.71 byte-for-byte; POM <licenses> names ""Bouncy Castle Licence"", whose text at bouncycastle.org/licence.html is the MIT license verbatim",MIT,Maven Central: org.bouncycastle:bcprov-jdk18on:1.71
fc-test-support/performance-testing/user-files/lib/jakarta.json-2.0.0.jar,Jakarta JSON Processing (Default Provider),2.0.0,EPL-2.0 (+ secondary GPL-2.0-with-classpath-exception),confirmed,embedded META-INF/LICENSE.md and MANIFEST.MF Bundle-License field,EPL-2.0 OR GPL-2.0-only WITH Classpath-exception-2.0,Maven Central: org.glassfish:jakarta.json:2.0.0
fc-test-support/performance-testing/user-files/lib/jsonld-common-java-1.0.0.jar,decentralized-identity jsonld-common-java,1.0.0,Apache-2.0,confirmed,no licence in manifest or published POM; GitHub LICENSE at tag 1.0.0 (decentralized-identity/jsonld-common-java) states Apache-2.0; not published to Maven Central,Apache-2.0,https://github.com/decentralized-identity/jsonld-common-java/releases/tag/1.0.0
fc-test-support/performance-testing/user-files/lib/key-formats-java-1.5.0.jar,danubetech key-formats-java,1.5.0,Apache-2.0,confirmed,no licence in manifest or published POM; GitHub LICENSE at tag 1.5.0 (danubetech/key-formats-java) states Apache-2.0; not published to Maven Central,Apache-2.0,https://github.com/danubetech/key-formats-java/releases/tag/1.5.0
fc-test-support/performance-testing/user-files/lib/ld-signatures-java-1.0.0.jar,WebOfTrustInfo ld-signatures-java,1.0.0,Apache-2.0,confirmed,no licence in manifest or published POM; GitHub LICENSE at tag 1.0.0 (WebOfTrustInfo/ld-signatures-java) states Apache-2.0; not published to Maven Central,Apache-2.0,https://github.com/WebOfTrustInfo/ld-signatures-java/releases/tag/1.0.0
fc-test-support/performance-testing/user-files/lib/nimbus-jose-jwt-9.9.jar,Connect2id Nimbus JOSE+JWT,9.9,Apache-2.0,confirmed,MANIFEST.MF Bundle-License: apache.org/licenses/LICENSE-2.0.txt,Apache-2.0,Maven Central: com.nimbusds:nimbus-jose-jwt:9.9
fc-test-support/performance-testing/user-files/lib/rdf-urdna-1.1.jar,setl rdf-urdna,1.1,Apache-2.0,confirmed,"SHA-256 of vendored jar matches Maven Central io.setl:rdf-urdna:1.1 byte-for-byte (verified 2026-09-03); published POM <licenses> states Apache License, Version 2.0",Apache-2.0,Maven Central: io.setl:rdf-urdna:1.1
fc-test-support/performance-testing/user-files/lib/titanium-json-ld-1.3.1.jar,Titanium JSON-LD,1.3.1,Apache-2.0,confirmed,published POM <licenses> block (com.apicatalog:titanium-json-ld:1.3.1) states Apache-2.0,Apache-2.0,Maven Central: com.apicatalog:titanium-json-ld:1.3.1
fc-test-support/performance-testing/user-files/lib/verifiable-credentials-java-1.0.0.jar,danubetech verifiable-credentials-java,1.0.0,Apache-2.0,confirmed,no licence in manifest or published POM; GitHub LICENSE at tag 1.0.0 (danubetech/verifiable-credentials-java) states Apache-2.0; not published to Maven Central,Apache-2.0,https://github.com/danubetech/verifiable-credentials-java/releases/tag/1.0.0
